id,type,raw_value,lux,timestamp
1,CDS,3028,739.4,1786184518
2,CDS,3959,966.8,1786184518
3,CDS,1639,400.2,1786184518
4,CDS,2707,661.1,1786184518
5,CDS,728,177.8,1786184518
6,CDS,3326,812.2,1786184519
7,CDS,3147,768.5,1786184519
8,CDS,843,205.9,1786184519
9,CDS,3494,853.2,1786184519
10,CDS,3969,969.2,1786184519
11,CDS,258,63.0,1786184520
12,CDS,3224,787.3,1786184520
13,CDS,2140,522.6,1786184520
14,CDS,2635,643.5,1786184520
15,CDS,41,10.0,1786184520
16,CDS,29,7.1,1786184521
17,CDS,1071,261.5,1786184521
18,CDS,352,86.0,1786184521
19,CDS,1948,475.7,1786184521
20,CDS,795,194.1,1786184521
21,CDS,2095,511.6,1786184522
22,CDS,3749,915.5,1786184522
23,CDS,676,165.1,1786184522
24,CDS,1357,331.4,1786184522
25,CDS,1880,459.1,1786184522
26,CDS,329,80.3,1786184523
27,CDS,3479,849.6,1786184523
28,CDS,3425,836.4,1786184523
29,CDS,3148,768.7,1786184523
30,CDS,2794,682.3,1786184523
31,CDS,3560,869.4,1786184524
32,CDS,2081,508.2,1786184524
33,CDS,2657,648.8,1786184524
34,CDS,1103,269.4,1786184524
35,CDS,692,169.0,1786184524
36,CDS,3386,826.9,1786184525
37,CDS,334,81.6,1786184525
38,CDS,3839,937.5,1786184525
39,CDS,133,32.5,1786184525
40,CDS,3828,934.8,1786184525
41,CDS,3712,906.5,1786184526
42,CDS,391,95.5,1786184526
43,CDS,2956,721.9,1786184526
44,CDS,1756,428.8,1786184526
45,CDS,3026,738.9,1786184526
46,CDS,2997,731.9,1786184527
47,CDS,1785,435.9,1786184527
48,CDS,2,0.5,1786184527
49,CDS,3349,817.8,1786184527
50,CDS,3734,911.8,1786184527
