id,sensor_type,raw_value,lux,timestamp
1,CDS,1386,338.5,2026-08-08 10:54:53
2,CDS,493,120.4,2026-08-08 10:54:53
3,CDS,1634,399.0,2026-08-08 10:54:53
4,CDS,665,162.4,2026-08-08 10:54:53
5,CDS,1979,483.3,2026-08-08 10:54:53
6,CDS,2013,491.6,2026-08-08 10:54:53
7,CDS,2414,589.5,2026-08-08 10:54:53
8,CDS,2246,548.5,2026-08-08 10:54:53
9,CDS,1489,363.6,2026-08-08 10:54:53
10,CDS,3624,885.0,2026-08-08 10:54:53
11,CDS,3682,899.1,2026-08-08 10:54:53
12,CDS,3196,780.5,2026-08-08 10:54:53
13,CDS,3935,960.9,2026-08-08 10:54:53
14,CDS,3144,767.8,2026-08-08 10:54:53
15,CDS,118,28.8,2026-08-08 10:54:53
16,CDS,2674,653.0,2026-08-08 10:54:53
17,CDS,841,205.4,2026-08-08 10:54:53
18,CDS,1556,380.0,2026-08-08 10:54:53
19,CDS,1159,283.0,2026-08-08 10:54:53
20,CDS,1047,255.7,2026-08-08 10:54:53
21,CDS,2052,501.1,2026-08-08 10:54:53
22,CDS,2677,653.7,2026-08-08 10:54:53
23,CDS,3729,910.6,2026-08-08 10:54:53
24,CDS,1958,478.1,2026-08-08 10:54:53
25,CDS,2341,571.7,2026-08-08 10:54:53
26,CDS,879,214.7,2026-08-08 10:54:53
27,CDS,2734,667.6,2026-08-08 10:54:53
28,CDS,3916,956.3,2026-08-08 10:54:53
29,CDS,2596,633.9,2026-08-08 10:54:53
30,CDS,3974,970.5,2026-08-08 10:54:53
31,CDS,1822,444.9328308105469,2026-08-08 10:58:09
32,CDS,935,228.3272247314453,2026-08-08 10:58:09
33,CDS,553,135.04273986816406,2026-08-08 10:58:09
34,CDS,1737,424.1758117675781,2026-08-08 10:58:09
35,CDS,3384,826.3735961914062,2026-08-08 10:58:09
36,CDS,3376,824.4200439453125,2026-08-08 10:58:10
37,CDS,904,220.75701904296875,2026-08-08 10:58:10
38,CDS,3938,961.6605834960938,2026-08-08 10:58:10
39,CDS,2988,729.6703491210938,2026-08-08 10:58:10
40,CDS,913,222.95481872558594,2026-08-08 10:58:10
41,CDS,2458,600.2442016601562,2026-08-08 10:58:11
42,CDS,1158,282.78387451171875,2026-08-08 10:58:11
43,CDS,343,83.76068115234375,2026-08-08 10:58:11
44,CDS,1738,424.4200134277344,2026-08-08 10:58:11
45,CDS,1704,416.1172180175781,2026-08-08 10:58:11
46,CDS,3731,911.111083984375,2026-08-08 10:58:12
47,CDS,891,217.58241271972656,2026-08-08 10:58:12
48,CDS,989,241.5140380859375,2026-08-08 10:58:12
49,CDS,74,18.070817947387695,2026-08-08 10:58:12
50,CDS,717,175.09156799316406,2026-08-08 10:58:12
51,CDS,1897,463.24786376953125,2026-08-08 10:58:13
52,CDS,2456,599.7557983398438,2026-08-08 10:58:13
53,CDS,95,23.19902229309082,2026-08-08 10:58:13
54,CDS,60,14.65201473236084,2026-08-08 10:58:13
55,CDS,2417,590.2319946289062,2026-08-08 10:58:13
56,CDS,715,174.60317993164062,2026-08-08 10:58:14
57,CDS,1773,432.967041015625,2026-08-08 10:58:14
58,CDS,2995,731.3797607421875,2026-08-08 10:58:14
59,CDS,2065,504.27349853515625,2026-08-08 10:58:14
60,CDS,2626,641.2698364257812,2026-08-08 10:58:14
61,CDS,2257,551.1599731445312,2026-08-08 10:58:15
62,CDS,3887,949.2063598632812,2026-08-08 10:58:15
63,CDS,3561,869.5970458984375,2026-08-08 10:58:15
64,CDS,2810,686.2026977539062,2026-08-08 10:58:15
65,CDS,1528,373.1379699707031,2026-08-08 10:58:15
66,CDS,2849,695.7265014648438,2026-08-08 10:58:16
67,CDS,2091,510.6227111816406,2026-08-08 10:58:16
68,CDS,2432,593.89501953125,2026-08-08 10:58:16
69,CDS,2692,657.3870849609375,2026-08-08 10:58:16
70,CDS,983,240.04884338378906,2026-08-08 10:58:17
71,CDS,3345,816.8497924804688,2026-08-08 10:58:17
72,CDS,1054,257.3870544433594,2026-08-08 10:58:17
73,CDS,2141,522.8327026367188,2026-08-08 10:58:17
74,CDS,3688,900.6104736328125,2026-08-08 10:58:17
75,CDS,2792,681.8070678710938,2026-08-08 10:58:18
76,CDS,3846,939.1941528320312,2026-08-08 10:58:18
77,CDS,3324,811.7216186523438,2026-08-08 10:58:18
78,CDS,3684,899.6337280273438,2026-08-08 10:58:18
79,CDS,739,180.46397399902344,2026-08-08 10:58:18
80,CDS,3398,829.7924194335938,2026-08-08 10:58:19
